Rank,Agent,Mean Return,Std Dev,Min Return,Max Return,Wins,Losses,Draws
1,random,-0.18,0.0,-0.18,-0.18,0,1,0
2,cfr,-0.4,0.0,-0.4,-0.4,0,1,0
